log2FoldChange,pvalue,padj,LLgeneAbbrev
-0.069157208,0.754109307,0.972952985,ATE1
0.236144324,0.754123961,0.972952985,LOC110437943
-0.149791424,0.754153191,0.972952985,si:ch211-276a23.5
-0.180839973,0.754212481,0.972952985,zgc:173737
-0.211859765,0.754213693,0.972952985,BX649522.1
0.22657442,0.75436044,0.973092631,LOC108182785
0.041504634,0.754460574,0.973172138,plod3
0.115669146,0.754502761,0.973176896,LOC110440062
-0.052935783,0.754554405,0.973186073,marveld2a
0.041795395,0.75466266,0.973186073,zcchc2
0.028064099,0.754686224,0.973186073,gng7
0.187189259,0.754713117,0.973186073,LOC108183355
0.177455445,0.75473394,0.973186073,taar13d
-0.170337031,0.754740873,0.973186073,tgfbr2a
-0.064551893,0.754780418,0.973187422,twf2a
0.038525477,0.754868901,0.973251866,cplx3b
0.096213255,0.75491341,0.973258499,LO018181.1
0.146777429,0.755003712,0.973258499,si:ch73-109d9.4
0.225687828,0.755040285,0.973258499,XLOC_023770
0.0763493,0.755041405,0.973258499,zgc:172139
0.072231688,0.755066557,0.973258499,dhx33
-0.060860578,0.755239786,0.973377008,sergef
-0.042602472,0.755276555,0.973377008,si:ch211-81a5.8
0.160696212,0.755285179,0.973377008,BX539310.1
-0.1085853,0.755333158,0.973377008,hs3st1l1
-0.28704012,0.755351032,0.973377008,tas2r202
0.043280099,0.755467435,0.973437757,CR848047.1
0.061147624,0.755491114,0.973437757,ywhae2
0.083697983,0.755513702,0.973437757,klf11b
0.352135796,0.755586083,0.973481397,XLOC_026920
0.112292596,0.755666053,0.973529419,LOC101883538
-0.038980895,0.755700382,0.973529419,cfl1l
0.067682495,0.755878384,0.973609097,fbxl3a
-0.035942461,0.755892174,0.973609097,cdc42ep4a
0.127594447,0.755949875,0.973609097,ora3
-0.053886848,0.756042911,0.973609097,ccdc18
-0.201666117,0.756044497,0.973609097,LOC108181885
-0.058941841,0.756085102,0.973609097,tmem8a
0.032746119,0.756213899,0.973609097,lztfl1
-0.034408041,0.756337159,0.973609097,xpo1a
-0.057049116,0.756343807,0.973609097,si:ch211-269c21.2
0.055541706,0.756374429,0.973609097,becn1
0.058132188,0.756385914,0.973609097,smarcc1a
0.041516469,0.756424478,0.973609097,ubxn6
0.082371723,0.756445773,0.973609097,si:dkey-287g12.6
-0.037773669,0.756453335,0.973609097,LO018102.1
0.192283198,0.756520423,0.973609097,LOC101883320
0.248525276,0.756556576,0.973609097,zgc:174180
0.070867459,0.756569742,0.973609097,qtrt1
0.039424867,0.756584093,0.973609097,ddx56
-0.082345963,0.756682263,0.973609097,LO017682.1
0.054504258,0.756697169,0.973609097,pdzd11
0.070465832,0.756697198,0.973609097,rasa1b
0.135858278,0.756701222,0.973609097,arhgap25
0.048943798,0.756704035,0.973609097,plxdc1
-0.050970815,0.756740499,0.973609097,si:dkeyp-115e12.6
-0.078597745,0.756779005,0.973609097,si:ch211-222k6.3
0.127527921,0.756798971,0.973609097,tatdn2
0.048897597,0.75685622,0.973609097,slc36a1
0.107607461,0.756865651,0.973609097,atf6b
-0.046511107,0.756895099,0.973609097,selenoo1
0.065609573,0.756917714,0.973609097,zgc:110626
0.321528848,0.75708619,0.973706703,XLOC_015407
0.054039778,0.7570908,0.973706703,bola1
-0.042836836,0.757109156,0.973706703,plekhf2
0.084206825,0.757149519,0.973709073,pls3
